cloud,region,latitude,longitude
aws,af-south-1,-34.0486,18.4811
aws,ap-east-1,22.2578,114.1657
aws,ap-northeast-1,35.6893,139.6899
aws,ap-northeast-2,37.4565,126.7052
aws,ap-northeast-3,34.6869,135.5211
aws,ap-south-1,19.0748,72.8856
aws,ap-southeast-1,1.3354,103.8056
aws,ap-southeast-2,-33.8601,151.2101
aws,ca-central-1,45.4994,-73.5703
aws,cn-north-1,39.9075,116.3972
aws,cn-northwest-1,37.2534,105.9976
aws,eu-central-1,50.1188,8.6843
aws,eu-north-1,59.3333,18.05
aws,eu-south-1,45.4742,9.1994
aws,eu-west-1,53.3382,-6.2591
aws,eu-west-2,51.5164,-0.093
aws,eu-west-3,48.8323,2.4075
aws,me-south-1,26.0022,50.5521
aws,sa-east-1,-23.5335,-46.6359
aws,us-east-1,39.0127,-77.5342
aws,us-east-2,39.9625,-83.0061
aws,us-gov-east-1,39.9625,-83.0061
aws,us-gov-west-1,45.8234,-119.7257
aws,us-west-1,37.2379,-121.7946
aws,us-west-2,45.8234,-119.7257
gcloud,africa-south1,nan,nan
gcloud,asia-east1,25.0504,121.5324
gcloud,asia-east2,22.2908,114.1501
gcloud,asia-northeast1,35.6893,139.6899
gcloud,asia-northeast2,34.6869,135.5211
gcloud,asia-northeast3,37.5794,126.9754
gcloud,asia-south1,19.0748,72.8856
gcloud,asia-south2,28.6328,77.2204
gcloud,asia-southeast1,1.3354,103.8056
gcloud,asia-southeast2,-6.1741,106.8296
gcloud,australia-southeast1,-33.8601,151.2101
gcloud,australia-southeast2,-37.8159,144.9669
gcloud,europe-central2,52.2068,20.9602
gcloud,europe-north1,61.0681,28.1733
gcloud,europe-west1,50.8847,4.5049
gcloud,europe-west2,51.5164,-0.093
gcloud,europe-west3,50.1188,8.6843
gcloud,europe-west4,53.2286,6.5743
gcloud,europe-west6,47.3682,8.5671
gcloud,northamerica-northeast1,45.4994,-73.5703
gcloud,northamerica-northeast2,43.6655,-79.4204
gcloud,southamerica-east1,-23.5335,-46.6359
gcloud,southamerica-west1,-33.4513,-70.6653
gcloud,us-central1,41.2615,-95.8304
gcloud,us-central2,36.1476,-95.9761
gcloud,us-east1,32.8929,-80.0458
gcloud,us-east4,38.9057,-77.0319
gcloud,us-east7,33.5226,-86.8033
gcloud,us-west1,45.5999,-121.1871
gcloud,us-west2,34.0544,-118.2441
gcloud,us-west3,40.6566,-111.8907
gcloud,us-west4,36.1685,-115.1164
